filename,temperature,position,center_x,center_y,bbox_x1,bbox_y1,bbox_x2,bbox_y2
1194.8-32000us-1.BMP,1194.8,top_left,212.9,154.01,91.07,31.0,334.73,277.01
1194.8-32000us-1.BMP,1194.8,top_right,793.79,135.55,668.27,11.58,919.31,259.53
1194.8-32000us-1.BMP,1194.8,bottom_left,220.24,738.58,96.96,613.47,343.51,863.7
1194.8-32000us-1.BMP,1194.8,bottom_right,779.82,740.09,650.34,613.43,909.3,866.75
1194.8-32000us-2.BMP,1194.8,top_left,212.92,154.07,91.22,31.05,334.62,277.08
1194.8-32000us-2.BMP,1194.8,top_right,793.88,135.58,668.29,11.62,919.46,259.55
1194.8-32000us-2.BMP,1194.8,bottom_left,220.11,738.64,96.98,613.63,343.24,863.65
1194.8-32000us-2.BMP,1194.8,bottom_right,779.55,740.09,650.44,613.28,908.65,866.9
1194.8-32000us-3.BMP,1194.8,top_left,212.92,154.09,91.05,30.91,334.79,277.27
1194.8-32000us-3.BMP,1194.8,top_right,793.69,135.59,668.11,11.45,919.28,259.73
1194.8-32000us-3.BMP,1194.8,bottom_left,220.23,738.69,96.96,613.51,343.49,863.86
1194.8-32000us-3.BMP,1194.8,bottom_right,779.51,740.31,649.71,613.63,909.31,867.0
1194.8-32000us-4.BMP,1194.8,top_left,212.96,153.95,91.15,30.91,334.76,276.99
1194.8-32000us-4.BMP,1194.8,top_right,793.79,135.42,668.31,11.41,919.26,259.42
1194.8-32000us-4.BMP,1194.8,bottom_left,220.19,738.52,97.04,613.51,343.33,863.54
1194.8-32000us-4.BMP,1194.8,bottom_right,779.36,740.24,650.38,613.86,908.34,866.62
1194.8-32000us-5.BMP,1194.8,top_left,212.83,153.91,91.02,30.83,334.64,276.99
1194.8-32000us-5.BMP,1194.8,top_right,793.83,135.48,668.3,11.47,919.36,259.5
1194.8-32000us-5.BMP,1194.8,bottom_left,220.22,738.56,96.93,613.43,343.51,863.7
1194.8-32000us-5.BMP,1194.8,bottom_right,779.16,739.8,650.02,612.79,908.31,866.81
